Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Capital (RS)
241,2026-03-19 13:15,2026-03-19 14:15,PE,23200,23111.3,22966.95,184.01,281.94,65,6365.45,100514.65
242,2026-03-19 14:15,2026-03-19 15:15,PE,23100,22987.25,23012.65,198.22,182.64,65,-1012.7,99501.95
243,2026-03-20 09:15,2026-03-20 10:15,CE,23100,23243.65,23282.9,231.13,258.82,65,1799.85,101301.8
244,2026-03-20 14:15,2026-03-20 15:15,PE,23200,23106.85,23113.7,186.69,182.58,65,-267.15,101034.65
245,2026-03-23 09:15,2026-03-23 10:15,PE,22700,22572.3,22540.0,205.56,227.03,65,1395.55,102430.2
246,2026-03-23 13:15,2026-03-23 14:15,CE,22500,22618.7,22621.45,210.83,212.65,65,118.3,102548.5
247,2026-03-24 09:15,2026-03-24 10:15,CE,22600,22708.1,22731.8,204.46,220.18,65,1021.8,103570.3
248,2026-03-24 12:15,2026-03-24 13:15,CE,22900,22990.5,23022.1,195.0,215.43,65,1327.95,104898.25
249,2026-03-24 14:15,2026-03-24 15:15,PE,23000,22898.65,22916.3,190.58,179.9,65,-694.2,104204.05
250,2026-03-25 09:15,2026-03-25 10:15,CE,23200,23305.55,23398.55,206.38,270.81,65,4187.95,108392.0
251,2026-03-30 09:15,2026-03-30 10:15,PE,22700,22596.75,22489.0,190.08,263.2,65,4752.8,113144.8
252,2026-03-30 14:15,2026-03-30 15:15,PE,22400,22335.6,22360.15,165.19,151.45,65,-893.1,112251.7
253,2026-04-01 09:15,2026-04-01 10:15,CE,22800,22868.85,22844.45,181.04,166.63,65,-936.65,111315.05
254,2026-04-01 10:15,2026-04-01 11:15,PE,22900,22763.75,22771.95,212.2,206.87,65,-346.45,110968.6
255,2026-04-01 13:15,2026-04-01 14:15,PE,22900,22753.0,22654.05,219.31,290.38,65,4619.55,115588.15
256,2026-04-02 09:15,2026-04-02 10:15,PE,22300,22234.35,22223.95,165.34,171.4,65,393.9,115982.05
257,2026-04-02 12:15,2026-04-02 13:15,CE,22300,22369.85,22593.25,178.59,340.81,65,10544.3,126526.35
258,2026-04-02 13:15,2026-04-02 14:15,CE,22500,22627.25,22726.45,216.53,288.25,65,4661.8,131188.15
259,2026-04-02 14:15,2026-04-02 15:15,CE,22700,22760.4,22746.95,175.36,167.46,65,-513.5,130674.65
260,2026-04-06 09:15,2026-04-06 10:15,PE,22800,22654.85,22578.4,217.54,271.51,65,3508.05,134182.7
261,2026-04-06 12:15,2026-04-06 13:15,CE,22800,22860.7,22878.35,176.15,186.84,65,694.85,134877.55
262,2026-04-07 09:15,2026-04-07 10:15,PE,23000,22920.0,22862.75,177.7,213.39,65,2319.85,137197.4
263,2026-04-07 13:15,2026-04-07 14:15,CE,22900,23011.95,23098.25,208.75,268.99,65,3915.6,141113.0
264,2026-04-07 14:15,2026-04-07 15:15,CE,23000,23109.25,23116.85,207.59,212.55,65,322.4,141435.4
265,2026-04-08 09:15,2026-04-08 10:15,CE,23800,23880.15,23969.2,194.03,252.88,65,3825.25,145260.65
266,2026-04-09 09:15,2026-04-09 10:15,PE,23900,23839.0,23838.65,171.86,172.05,65,12.35,145273.0
267,2026-04-10 09:15,2026-04-10 10:15,CE,23900,23994.4,24000.6,203.49,207.41,65,254.8,145527.8
268,2026-04-10 14:15,2026-04-13 09:15,CE,24000,24057.5,24028.45,181.64,165.02,65,-1080.3,144447.5
269,2026-04-13 09:15,2026-04-13 10:15,PE,23800,23660.05,23669.05,219.46,213.62,65,-379.6,144067.9
270,2026-04-13 10:15,2026-04-13 11:15,CE,23600,23743.7,23781.1,234.04,260.26,65,1704.3,145772.2
271,2026-04-13 13:15,2026-04-13 14:15,CE,23800,23854.5,23862.45,178.65,183.34,65,304.85,146077.05
272,2026-04-15 09:15,2026-04-15 10:15,CE,24100,24241.65,24238.15,235.54,233.17,65,-154.05,145923.0
273,2026-04-16 09:15,2026-04-16 10:15,CE,24200,24307.6,24298.2,213.67,207.69,65,-388.7,145534.3
274,2026-04-16 11:15,2026-04-16 12:15,PE,24300,24184.8,24143.1,206.38,233.32,65,1751.1,147285.4
275,2026-04-17 09:15,2026-04-17 10:15,CE,24200,24272.95,24268.85,192.08,189.61,65,-160.55,147124.85
276,2026-04-21 09:15,2026-04-21 10:15,CE,24400,24513.15,24529.5,218.44,229.14,65,695.5,147820.35
277,2026-04-21 10:15,2026-04-21 11:15,CE,24500,24557.45,24533.25,184.69,170.81,65,-902.2,146918.15
278,2026-04-21 14:15,2026-04-22 09:15,CE,24500,24573.0,24565.85,193.95,189.66,65,-278.85,146639.3
279,2026-04-22 09:15,2026-04-22 10:15,PE,24500,24373.15,24388.7,214.82,205.07,65,-633.75,146005.55
280,2026-04-23 09:15,2026-04-23 10:15,PE,24400,24275.35,24220.2,212.88,249.4,65,2373.8,148379.35
281,2026-04-24 09:15,2026-04-24 10:15,PE,24100,23992.85,23945.05,200.28,230.96,65,1994.2,150373.55
282,2026-04-24 14:15,2026-04-27 09:15,CE,23800,23895.45,24072.35,203.55,330.66,65,8262.15,158635.7
283,2026-04-27 09:15,2026-04-27 10:15,CE,24000,24063.3,24068.15,185.07,187.97,65,188.5,158824.2
284,2026-04-28 09:15,2026-04-28 10:15,CE,24000,24148.3,24146.75,239.49,238.43,65,-68.9,158755.3
285,2026-04-28 11:15,2026-04-28 12:15,PE,24100,24048.25,24027.55,167.82,179.55,65,762.45,159517.75
286,2026-04-28 13:15,2026-04-28 14:15,PE,24100,23981.95,24003.65,207.06,193.69,65,-869.05,158648.7
287,2026-04-29 09:15,2026-04-29 10:15,CE,24100,24233.8,24263.85,230.25,250.81,65,1336.4,159985.1
288,2026-04-29 13:15,2026-04-29 14:15,PE,24300,24214.6,24203.65,188.27,194.81,65,425.1,160410.2
289,2026-04-30 09:15,2026-04-30 10:15,PE,23900,23828.6,23833.9,177.8,174.76,65,-197.6,160212.6
