Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
355,2026-06-15 13:15,2026-06-15 14:15,PE,24000,23889.9,23853.05,201.55,225.12,65,1532.05,11.69,TRAILING SL HIT (+36.8 Spot Pts),312485.5
356,2026-06-15 14:15,2026-06-16 09:15,PE,23900,23844.4,23877.85,168.82,150.72,65,-1176.5,-10.72,STOP LOSS HIT (-33.4 Spot Pts),311309.0
357,2026-06-16 09:15,2026-06-16 10:15,CE,23800,23910.15,23942.7,212.93,234.51,65,1402.7,10.13,TRAILING SL HIT (+32.5 Spot Pts),312711.7
358,2026-06-16 13:15,2026-06-16 14:15,CE,23900,23995.9,23967.25,204.43,186.82,65,-1144.65,-8.61,STOP LOSS HIT (-28.7 Spot Pts),311567.05
359,2026-06-17 09:15,2026-06-17 10:15,CE,23900,24047.7,24061.75,238.5,248.21,65,631.15,4.07,TRAILING SL HIT (+14.1 Spot Pts),312198.2
360,2026-06-17 10:15,2026-06-17 11:15,CE,24000,24081.7,24072.85,196.2,190.8,65,-351.0,-2.75,STOP LOSS HIT (-8.8 Spot Pts),311847.2
361,2026-06-17 12:15,2026-06-17 13:15,PE,24100,24009.75,24040.85,190.02,171.96,65,-1173.9,-9.5,STOP LOSS HIT (-31.1 Spot Pts),310673.3
362,2026-06-17 14:15,2026-06-18 09:15,CE,24000,24083.2,24104.4,197.12,210.43,65,865.15,6.75,TRAILING SL HIT (+21.2 Spot Pts),311538.45
363,2026-06-18 09:15,2026-06-18 10:15,CE,24000,24125.6,24095.8,224.21,204.97,65,-1250.6,-8.58,STOP LOSS HIT (-29.8 Spot Pts),310287.85
364,2026-06-18 12:15,2026-06-18 13:15,CE,24000,24127.8,24101.3,225.67,208.45,65,-1119.3,-7.63,STOP LOSS HIT (-26.5 Spot Pts),309168.55
365,2026-06-18 14:15,2026-06-19 09:15,CE,24100,24177.45,24153.95,194.2,180.18,65,-911.3,-7.22,STOP LOSS HIT (-23.5 Spot Pts),308257.25
366,2026-06-19 09:15,2026-06-19 10:15,PE,24100,24009.95,23972.45,189.9,213.08,65,1506.7,12.21,TRAILING SL HIT (+37.5 Spot Pts),309763.95
367,2026-06-19 12:15,2026-06-19 13:15,PE,24000,23930.2,23949.85,177.45,166.36,65,-720.85,-6.25,STOP LOSS HIT (-19.7 Spot Pts),309043.1
368,2026-06-19 13:15,2026-06-19 14:15,CE,23900,23991.45,24007.4,201.64,211.75,65,657.15,5.01,TRAILING SL HIT (+16.0 Spot Pts),309700.25
369,2026-06-19 14:15,2026-06-19 15:15,CE,23900,24025.9,24011.5,223.82,214.4,65,-612.3,-4.21,STOP LOSS HIT (-14.4 Spot Pts),309087.95
370,2026-06-22 09:15,2026-06-22 11:15,CE,24000,24149.65,24133.0,240.41,229.13,65,-733.2,-4.69,STOP LOSS HIT (-16.7 Spot Pts),308354.75
371,2026-06-22 11:15,2026-06-22 13:15,PE,24200,24118.2,24132.15,185.57,177.48,65,-525.85,-4.36,STOP LOSS HIT (-14.0 Spot Pts),307828.9
372,2026-06-23 09:15,2026-06-23 10:15,CE,24000,24124.05,24095.1,223.19,204.53,65,-1212.9,-8.36,STOP LOSS HIT (-29.0 Spot Pts),306616.0
373,2026-06-23 11:15,2026-06-23 12:15,PE,24100,23965.0,23943.9,217.86,231.73,65,901.55,6.37,TRAILING SL HIT (+21.1 Spot Pts),307517.55
374,2026-06-23 12:15,2026-06-23 13:15,PE,24000,23922.6,23897.9,181.86,196.62,65,959.4,8.12,TRAILING SL HIT (+24.7 Spot Pts),308476.95
375,2026-06-23 14:15,2026-06-23 15:15,PE,23900,23827.7,23820.25,178.32,182.66,65,282.1,2.43,TRAILING SL HIT (+7.4 Spot Pts),308759.05
376,2026-06-24 09:15,2026-06-24 10:15,CE,23800,23917.85,23956.2,217.93,243.78,65,1680.25,11.86,TRAILING SL HIT (+38.3 Spot Pts),310439.3
377,2026-06-24 10:15,2026-06-24 11:15,CE,23900,23985.85,23978.65,198.15,193.72,65,-287.95,-2.24,STOP LOSS HIT (-7.2 Spot Pts),310151.35
378,2026-06-24 12:15,2026-06-24 13:15,CE,23900,24031.1,24054.75,227.28,243.35,65,1044.55,7.07,TRAILING SL HIT (+23.7 Spot Pts),311195.9
379,2026-06-24 13:15,2026-06-24 14:15,CE,24000,24056.65,24033.75,181.14,167.98,65,-855.4,-7.27,STOP LOSS HIT (-22.9 Spot Pts),310340.5
380,2026-06-24 14:15,2026-06-25 09:15,PE,24100,24006.45,24038.6,192.0,173.23,65,-1220.05,-9.78,STOP LOSS HIT (-32.2 Spot Pts),309120.45
381,2026-06-25 09:15,2026-06-25 11:15,CE,24100,24184.1,24226.1,198.28,225.13,65,1745.25,13.54,TRAILING SL HIT (+42.0 Spot Pts),310865.7
382,2026-06-25 11:15,2026-06-25 12:15,CE,24100,24243.65,24216.5,236.89,218.83,65,-1173.9,-7.62,STOP LOSS HIT (-27.2 Spot Pts),309691.8
